0000000000001    25
0000000000002    12
0000000000005    15
0000000000008    18
3406382630744    20
3413139018129     2
3413652061175    19
3417173252138     6
3427493071162    14
3428005430453    13
3434579987701    19
3436178821744     3
3448739417222    14
3451872435357    28
3462399429586    23
3465783475210     7
3470685033218     7
3477919127487     5
3496611904275    11
3711478364781    13
3730581404769    28
3731712838723     2
3732097069398    20
3733084462794     7
3733370318641    22
3734126398535    25
3735651204262     6
3736066185242    25
3741996648107     6
3743065358522    14
3756296825828    26
3758610223078    20
3761209703821    15
3763433818212     8
3778050257123    25
3780346364528    20
3786855908087    15
3790826039675    26
3795707779364    15
3797309284073    13
4170333560461     7
4336030434477     9
4350594240836     9
4414422887584    20
4671210364889     6
4672336052178    18
4673453286585    20
4834297135995    14
4917137816644    29
4955678331711    20
5110004514268    14
5110504020691    18
5118644824031    28
5124193353131    30
5125358416519    30
5127249505629    20
5130368456908    27
5130370979378    12
5138509505611    26
5138981163442    13
5139360974887    20
5140047621731    24
5140302601936    20
5140383670182    18
5142852486059    18
5144434632933    10
5145141404809    27
5145254781010    18
5147419208557    19
5152184498649    27
5157609942984    22
5157987134374    12
5163052139124    10
5167994613217    26
5172379321221    16
5174267066390     1
5174518807927    25
5174592197802    20
5181924440064    11
5183751795838    12
5183803792135    14
5185032621337    11
5185196988230    14
5190233555778    13
5192923271644    26
5193616434230    18
5193878027292    15
5199865358082    12
5233104617274    14
5241471299454    29
5294119453029     6
5298310895588    25
5316572819501    23
5323929636853    14
5338559265375    16
5349865588078     8
5370037343949    17
5371267357585    13
5376697489876    17
5386310658561    22
5389693167489    29
5393348225923    20
5412457836521    15
5457578184465    21
