5130370979378	12
5183751795838	12
5174267066390	1
5147419208557	19
3436178821744	3
3733370318641	22
5185196988230	4
3427493071162	14
5130368456908	27
4834297135995	14
46713210364889	4
5376697489876	17
3417173252138	6
5192923271644	26
3711478364781	13
3778050257123	25
5138981163442	13
51389163442	-13
5316572819501	23
3413139018129	2
3731712838723	2
5386310658561	22
3434579987701	19
4917137816644	29
5172379321221	16
5233104617274	14
3470685033218	7
5370037343949	17
3786855908087	15
51628755647800	26
3797309284073	13
5174592197802	2
5144434632933	10
5145141404809	27
5199865358082	12
3730581404769	28
3448739417222	14
5338559265375	16
5145254781010	18
5349865588078	8
5167994613217	26
4414422887584	7
3795707779364	15
4672336052178	18
5118644824031	28
5157609942984	22
5140047621731	24
4170333560461	7
3734126398535	25
3496611904275	11
5174518807927	25
5157987134374	12
3741996648107	6
5323929636853	14
3763433818212	8
3736066185242	25
5241471299454	29
5110004514268	14
5140383670182	18
5124193353131	30
5193616434230	18
3477919127487	5
3733084462794	7
5294119453029	6
5185032621337	11
5125358416519	30
3758610223078	20
5163052139124	10
3413652061175	19
5181924440064	11
5138509505611	26
5298310895588	25
5190233555778	13
5193878027292	15
3465783475210	7
4336030434477	9
4673453286585	1
3428005430453	13
3462399429586	23
5389693167489	29
5457578184465	21
4350594240836	9
3790826039675	26
3756296825828	26
3780346364528	20
5127249505629	6
4955678331711	6
5183803792135	14
5110504020691	18
5371267357585	13
3743065358522	14
5140302601936	4
3735651204262	6
5152184498649	27
5139360974887	3
3761209703821	15
5142852486059	18
3451872435357	28
